Title,Year,Format,AVS,Catalogue
Assassination Nation,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57298726,https://beqcatalogue.readthedocs.io/en/latest/57298726/
Assassin's Creed,2016,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56746058,https://beqcatalogue.readthedocs.io/en/latest/56746058/
Assault on Precinct 13,2005,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58412438,https://beqcatalogue.readthedocs.io/en/latest/58412438/
Assimilate,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58501200,https://beqcatalogue.readthedocs.io/en/latest/58501200/
Atomic Blonde,2017,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56740162,https://beqcatalogue.readthedocs.io/en/latest/56740162/
Attraction,2017,Russian Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59899250,https://beqcatalogue.readthedocs.io/en/latest/59899250/
Avatar: Extended,2009,Theatrical / Extended DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56894532,https://beqcatalogue.readthedocs.io/en/latest/56894532/
Avengement,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58247760,https://beqcatalogue.readthedocs.io/en/latest/58247760/
The Avengers,2012,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56612552,https://beqcatalogue.readthedocs.io/en/latest/56612552/
The Avengers,2012,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57968986,https://beqcatalogue.readthedocs.io/en/latest/57968986/
The Avengers: Age of Ultron,2015,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56626708,https://beqcatalogue.readthedocs.io/en/latest/56626708/
The Avengers: Infinity War,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56613830,https://beqcatalogue.readthedocs.io/en/latest/56613830/
The Avengers: End Game,2019,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58355484,https://beqcatalogue.readthedocs.io/en/latest/58355484/
The Axiom,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58574578,https://beqcatalogue.readthedocs.io/en/latest/58574578/
A.X.L,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57351146,https://beqcatalogue.readthedocs.io/en/latest/57351146/
The Babadook,2014,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59148208,https://beqcatalogue.readthedocs.io/en/latest/59148208/
Baby Driver,2017,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56745942,https://beqcatalogue.readthedocs.io/en/latest/56745942/
Backdraft,1991,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58030540,https://beqcatalogue.readthedocs.io/en/latest/58030540/
Bad Boys,1995,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56744478,https://beqcatalogue.readthedocs.io/en/latest/56744478/
Bad Boys II,2003,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56693206,https://beqcatalogue.readthedocs.io/en/latest/56693206/
Bad Boys for Life,2020,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59432732,https://beqcatalogue.readthedocs.io/en/latest/59432732/
Bad Times at the El Royale,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57291066,https://beqcatalogue.readthedocs.io/en/latest/57291066/
Band of Brothers,2001,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57705944,https://beqcatalogue.readthedocs.io/en/latest/57705944/
Batman,1989,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58150172,https://beqcatalogue.readthedocs.io/en/latest/58150172/
Batman Returns,1992,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58150282,https://beqcatalogue.readthedocs.io/en/latest/58150282/
Batman Forever,1995,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58150462,https://beqcatalogue.readthedocs.io/en/latest/58150462/
Batman and Robin,1997,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58154126,https://beqcatalogue.readthedocs.io/en/latest/58154126/
